,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,_RA.icrs,_DE.icrs,id
2G3459135+0000939,345.9135,0.0094,0.4699999988079071,1.1799999475479126,0.9700000286102295,1.0800000429153442,0.3700000047683716,24,91,0.5600000023841858,0.25999999046325684,0.25,R,,1G345913+000107,G345.917+00.004,,S10,256.7772,-40.6183,2157
2G3459283-0012793,345.9283,-0.1279,0.05000000074505806,0.28999999165534973,0.25999999046325684,0.27000001072883606,0.05999999865889549,19,71,0.4099999964237213,0.46000000834465027,0.6000000238418579,R,,1G345929-001302,G345.927-00.129,,,256.9336,-40.6888,2158
2G3459373-0001771,345.9373,-0.0177,0.1899999976158142,0.47999998927116394,0.3700000047683716,0.4300000071525574,0.09000000357627869,9,40,0.6499999761581421,0.09000000357627869,0.12999999523162842,R,,1G345937-000185,G345.936-00.020,,,256.8245,-40.6155,2159
2G3459441-0055363,345.9442,-0.5536,0.05999999865889549,0.5899999737739563,0.5699999928474426,0.5799999833106995,0.11999999731779099,44,122,0.25999999046325684,,0.1899999976158142,C,,1G345946-005534,G345.946-00.555,,,257.3973,-40.9304,2160
2G3459931-0002014,345.9932,-0.0201,0.33000001311302185,0.5099999904632568,0.3400000035762787,0.4300000071525574,0.11999999731779099,156,87,0.75,0.07000000029802322,0.07999999821186066,C,,1G345995-000246,G345.997-00.024,,,256.8713,-40.5723,2161
2G3460394+0004871,346.0395,0.0487,0.03999999910593033,0.14000000059604645,0.11999999731779099,0.12999999523162842,0.05000000074505806,58,92,0.4399999976158142,0.17000000178813934,0.1899999976158142,R,,,G346.039+00.048,,,256.8354,-40.4939,2162
2G3460548-0002179,346.0549,-0.0218,0.05000000074505806,0.36000001430511475,0.23999999463558197,0.3100000023841858,0.029999999329447746,5,85,0.7599999904632568,,0.3499999940395355,C,,1G346051-000216,G346.056-00.020,,,256.9218,-40.5239,2163
2G3460959-0036351,346.0959,-0.3635,0.14000000059604645,0.5400000214576721,0.47999998927116394,0.5099999904632568,0.09000000357627869,31,63,0.44999998807907104,,0.20000000298023224,C,,1G346096-003638,G346.095-00.361,,,257.3149,-40.6953,2164
2G3461076-0037195,346.1076,-0.372,0.15000000596046448,0.3499999940395355,0.25999999046325684,0.3100000023841858,0.07999999821186066,157,110,0.6700000166893005,0.25999999046325684,0.18000000715255737,R,,1G346108-003706,G346.109-00.372,,,257.3331,-40.691,2165
2G3461113-0010907,346.1113,-0.1091,0.14000000059604645,0.8899999856948853,0.699999988079071,0.800000011920929,0.09000000357627869,54,49,0.6100000143051147,,0.3100000023841858,C,,1G346111-001105,G346.112-00.111,,,257.0582,-40.531,2166
2G3462605+0028771,346.2605,0.2877,0.11999999731779099,0.33000001311302185,0.25,0.28999999165534973,0.07999999821186066,24,77,0.6499999761581421,,0.2199999988079071,C,,1G346261+002880,G346.259+00.288,,,256.7589,-40.1737,2167
2G3462709+0011450,346.271,0.1145,0.7599999904632568,1.4700000286102295,0.9200000166893005,1.2300000190734863,0.3199999928474426,37,67,0.7799999713897705,,0.30000001192092896,C,,1G346272+001125,G346.269+00.126,,,256.9486,-40.2692,2168
2G3463270-0017328,346.3271,-0.1733,0.07000000029802322,0.3700000047683716,0.20000000298023224,0.30000001192092896,0.05999999865889549,29,86,0.8500000238418579,0.12999999523162842,0.20000000298023224,R,,1G346327-001731,G346.327-00.174,,,257.2952,-40.3963,2169
2G3464180+0026067,346.418,0.2607,0.03999999910593033,0.4000000059604645,0.2199999988079071,0.33000001311302185,0.019999999552965164,29,113,0.8399999737739563,,0.5299999713897705,C,,1G346416+002582,G346.416+00.257,,,256.9108,-40.0639,2170
2G3465188+0008746,346.5189,0.0875,0.3499999940395355,0.6499999761581421,0.5299999713897705,0.6000000238418579,0.2199999988079071,59,92,0.5899999737739563,0.15000000596046448,0.23999999463558197,R,,1G346520+000875,G346.521+00.086,17.5,,257.171,-40.0867,2171
2G3465290+0011555,346.529,0.1156,0.029999999329447746,0.23999999463558197,0.20000000298023224,0.2199999988079071,0.029999999329447746,25,18,0.550000011920929,,0.25999999046325684,C,,,G346.530+00.115,,,257.1495,-40.0619,2172
